"most_recent_observation","most_recent_observation_type","common_name","scientific_name","city","state","longitude_coordinate","latitude_coordinate","address","condition","height_M","native","height_binned_M","diameter_breast_height_binned_CM","greater_metro","city_ID","tree_ID","planted_date","retired_date","location_type","zipcode","neighborhood","location_name","ward","district","overhead_utility","diameter_breast_height_CM","percent_population"
"6/17/2020","inventory_date","Locust",NA,"Albuquerque","New Mexico",-106.5683658,35.06045584,NA,"dead/dying",NA,"no_info",NA,NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6/9/2020","inventory_date","Oak","Quercus","Albuquerque","New Mexico",-106.6550372,35.13927167,"1641 Tierra Del Rio Northwest",NA,NA,"no_info",NA,NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6/3/2020","inventory_date","Ash","Fraxinus","Albuquerque","New Mexico",-106.5811272,35.05217585,"Us Veterans Hospital Loop","dead/dying",NA,"no_info",NA,NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6/3/2020","inventory_date","Scotch pine","Pinus sylvestris","Albuquerque","New Mexico",-106.5750558,35.05245023,"1606 San Pedro Drive Southeast","dead/dying",147.6378,"introduced","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Honeylocust","Gleditsia triacanthos","Albuquerque","New Mexico",-106.7165393,35.14963169,"5700 Bogart Street Northwest","good",98.4252,"introduced","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Honeylocust","Gleditsia triacanthos","Albuquerque","New Mexico",-106.7166403,35.14974424,"5700 Bogart Street Northwest","good",114.8294,"introduced","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Elm hybrid","Ulmus","Albuquerque","New Mexico",-106.7164405,35.15012146,"5700 Bogart Street Northwest","good",98.4252,"no_info","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Elm hybrid","Ulmus","Albuquerque","New Mexico",-106.7163844,35.15002222,"5700 Bogart Street Northwest","good",82.021,"no_info","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Ash","Fraxinus","Albuquerque","New Mexico",-106.7163341,35.14993063,"5700 Bogart Street Northwest","good",49.2126,"no_info","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Elm hybrid","Ulmus","Albuquerque","New Mexico",-106.7162492,35.14983483,"5700 Bogart Street Northwest","good",82.021,"no_info","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Ash","Fraxinus","Albuquerque","New Mexico",-106.7161868,35.14970982,"5700 Bogart Street Northwest","good",65.6168,"no_info","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Chinese elm","Ulmus parvifolia","Albuquerque","New Mexico",-106.7161276,35.14963007,"5700 Bogart Street Northwest","good",82.021,"introduced","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Chinese elm","Ulmus parvifolia","Albuquerque","New Mexico",-106.7160727,35.1495365,"5700 Bogart Street Northwest","good",65.6168,"introduced","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Elm hybrid","Ulmus","Albuquerque","New Mexico",-106.716013,35.14943452,"5700 Bogart Street Northwest","good",59.05512,"no_info","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Chinese elm","Ulmus parvifolia","Albuquerque","New Mexico",-106.7159372,35.14934022,"5700 Bogart Street Northwest","good",98.4252,"introduced","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Elm hybrid","Ulmus","Albuquerque","New Mexico",-106.7158683,35.14924614,"5700 Bogart Street Northwest","good",82.021,"no_info","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Elm hybrid","Ulmus","Albuquerque","New Mexico",-106.7158158,35.14914715,"5700 Bogart Street Northwest","good",65.6168,"no_info","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Ash","Fraxinus","Albuquerque","New Mexico",-106.7157384,35.14903236,"5700 Bogart Street Northwest","good",59.05512,"no_info","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Ash","Fraxinus","Albuquerque","New Mexico",-106.7156784,35.14893369,"5700 Bogart Street Northwest","fair",49.2126,"no_info","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Chinese elm","Ulmus parvifolia","Albuquerque","New Mexico",-106.7156225,35.14886249,"5700 Bogart Street Northwest","good",49.2126,"introduced","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Ash","Fraxinus","Albuquerque","New Mexico",-106.7155232,35.14869892,"5601 Bogart Street Northwest","good",65.6168,"no_info","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Chinese elm","Ulmus parvifolia","Albuquerque","New Mexico",-106.7154591,35.14861084,"5601 Bogart Street Northwest",NA,65.6168,"introduced","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Chinese elm","Ulmus parvifolia","Albuquerque","New Mexico",-106.7153987,35.14849712,"5601 Bogart Street Northwest","good",65.6168,"introduced","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Honeylocust","Gleditsia triacanthos","Albuquerque","New Mexico",-106.7156455,35.14805579,"5601 Bogart Street Northwest","good",98.4252,"introduced","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Honeylocust","Gleditsia triacanthos","Albuquerque","New Mexico",-106.7157306,35.1481161,"5601 Bogart Street Northwest","poor",82.021,"introduced","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Honeylocust","Gleditsia triacanthos","Albuquerque","New Mexico",-106.7157562,35.14821793,"5601 Bogart Street Northwest","fair",98.4252,"introduced","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Honeylocust","Gleditsia triacanthos","Albuquerque","New Mexico",-106.7158885,35.14807023,"5601 Bogart Street Northwest","good",82.021,"introduced","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Honeylocust","Gleditsia triacanthos","Albuquerque","New Mexico",-106.7161358,35.14813934,"5601 Bogart Street Northwest","good",82.021,"introduced","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Honeylocust","Gleditsia triacanthos","Albuquerque","New Mexico",-106.7160979,35.14818744,"5601 Bogart Street Northwest","fair",82.021,"introduced","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Honeylocust","Gleditsia triacanthos","Albuquerque","New Mexico",-106.7162644,35.14825806,"5601 Bogart Street Northwest","good",98.4252,"introduced","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/29/2020","inventory_date","Honeylocust","Gleditsia triacanthos","Albuquerque","New Mexico",-106.7163722,35.14841903,"5601 Bogart Street Northwest","good",98.4252,"introduced","more than 18.29 m",NA,"Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
